COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| B0xProxy.sol                        | 18.95%               | 15.69% (-3.27%)      | 17.81% (-1.14%)      |
| CBToken.sol                         | 14.10%               | 13.94% (-0.16%)      | 13.94% (-0.16%)      |
| Ciphs.sol                           | 14.23%               | 15.38% (+1.16%)      | 12.90% (-1.32%)      |
| CvcProxy.sol                        | 58.94%               | 57.97% (-0.97%)      | 57.00% (-1.93%)      |
| DSProxy.sol                         | 43.23%               | 35.64% (-7.59%)      | 40.92% (-2.31%)      |
| FNBToken.sol                        | 51.26%               | 52.38% (+1.12%)      | 52.66% (+1.40%)      |
| KnowledgeProxy.sol                  | 57.72%               | 57.32% (-0.41%)      | 57.32% (-0.41%)      |
| LANDProxy.sol                       | 85.96%               | 86.84% (+0.88%)      | 83.33% (-2.63%)      |
| MultiEventsHistory.sol              | 53.62%               | 57.61% (+3.99%)      | 50.00% (-3.62%)      |
| MultiSigStub.sol                    | 30.43%               | 32.71% (+2.28%)      | 32.92% (+2.48%)      |
| Parsec.sol                          | 63.04%               | 65.22% (+2.17%)      | 61.59% (-1.45%)      |
| RiskSharingToken.sol                | 22.82%               | 22.69% (-0.13%)      | 24.23% (+1.41%)      |
| TransferReg.sol                     | 72.55%               | 65.69% (-6.86%)      | 64.71% (-7.84%)      |
| UserWallet.sol                      | 73.33%               | 66.67% (-6.67%)      | 66.67% (-6.67%)      |
| WyvernDAOProxy.sol                  | 64.37%               | 56.90% (-7.47%)      | 63.22% (-1.15%)      |
| BigRisk.sol                         | 53.54%               | 51.52% (-2.02%)      | 53.54% (0.00%)       |
| Caller.sol                          | 100.00%              | 100.00% (0.00%)      | 100.00% (0.00%)      |
| ChargCoinContract.sol               | 18.66%               | 24.20% (+5.54%)      | 22.01% (+3.35%)      |
| CreditDepositBank.sol               | 59.20%               | 62.64% (+3.45%)      | 61.49% (+2.30%)      |
| CrowdSalePreICO.sol                 | 29.49%               | 28.12% (-1.37%)      | 27.71% (-1.78%)      |
| DepositBank.sol                     | 50.76%               | 47.71% (-3.05%)      | 44.44% (-6.32%)      |
| EDProxy.sol                         | 41.08%               | 38.72% (-2.36%)      | 44.78% (+3.70%)      |
| Ethsplit.sol                        | 34.92%               | 38.10% (+3.17%)      | 38.10% (+3.17%)      |
| HelpMeSave.sol                      | 77.14%               | 73.33% (-3.81%)      | 77.14% (+0.00%)      |
| Honey.sol                           | 45.37%               | 44.44% (-0.93%)      | 55.56% (+10.19%)     |
| IPchainStandardToken.sol            | 44.90%               | 52.38% (+7.48%)      | 48.30% (+3.40%)      |
| MillionEther.sol                    | 9.97%                | 10.24% (+0.26%)      | 11.20% (+1.22%)      |
| MultiplicatorX4.sol                 | 61.46%               | 55.21% (-6.25%)      | 58.33% (-3.12%)      |
| NexxusToken.sol                     | 38.61%               | 39.44% (+0.83%)      | 42.50% (+3.89%)      |
| Pie.sol                             | 53.70%               | 51.85% (-1.85%)      | 36.11% (-17.59%)     |
| PrayerCoin.sol                      | 28.78%               | 29.61% (+0.83%)      | 31.88% (+3.11%)      |
| RaisingToken.sol                    | 40.15%               | 40.91% (+0.76%)      | 40.91% (+0.76%)      |
| Reward.sol                          | 48.55%               | 42.75% (-5.80%)      | 42.75% (-5.80%)      |
| SafeConditionalHFTransfer.sol       | 27.78%               | 27.78% (0.00%)       | 27.78% (0.00%)       |
| Soleau.sol                          | 48.85%               | 52.30% (+3.45%)      | 53.45% (+4.60%)      |
| Store.sol                           | 71.60%               | 66.67% (-4.94%)      | 61.73% (-9.88%)      |
| TokenBank.sol                       | 51.32%               | 52.91% (+1.59%)      | 56.08% (+4.76%)      |
| TranferInTwoPart.sol                | 70.37%               | 59.26% (-11.11%)     | 55.56% (-14.81%)     |
| WhaleGiveaway1.sol                  | 46.83%               | 48.41% (+1.59%)      | 61.11% (+14.29%)     |
| AFactory.sol                        | 19.23%               | 19.23% (0.00%)       | 19.23% (0.00%)       |
| Abt.sol                             | 36.36%               | 36.36% (0.00%)       | 36.36% (0.00%)       |
| AnyContract.sol                     | 45.00%               | 45.00% (0.00%)       | 45.00% (0.00%)       |
| Apuestas2018.sol                    | 33.15%               | 31.11% (-2.04%)      | 33.15% (0.00%)       |
| Arss.sol                            | 36.36%               | 36.36% (0.00%)       | 36.36% (0.00%)       |
| ArtBlockToken.sol                   | 26.97%               | 29.61% (+2.63%)      | 28.95% (+1.97%)      |
| AsaCoin.sol                         | 52.61%               | 56.21% (+3.59%)      | 52.61% (0.00%)       |
| BAIC.sol                            | 65.69%               | 66.67% (+0.98%)      | 66.18% (+0.49%)      |
| BIAToken.sol                        | 34.13%               | 33.73% (-0.40%)      | 32.74% (-1.39%)      |
| BJCToken.sol                        | 34.86%               | 37.25% (+2.40%)      | 34.42% (-0.44%)      |
| BJLToken.sol                        | 31.94%               | 34.72% (+2.78%)      | 32.14% (+0.20%)      |
| BRToken.sol                         | 52.61%               | 51.63% (-0.98%)      | 52.61% (0.00%)       |
| BananaToken.sol                     | 28.07%               | 28.95% (+0.88%)      | 28.95% (+0.88%)      |
| BetCenter.sol                       | 31.30%               | 29.57% (-1.74%)      | 31.01% (-0.29%)      |
| Bitway.sol                          | 57.27%               | 55.45% (-1.82%)      | 55.15% (-2.12%)      |
| BurnableOpenPaymentFactory.sol      | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| BurnablePaymentFactory.sol          | 14.24%               | 15.53% (+1.29%)      | 15.53% (+1.29%)      |
| C2.sol                              | 26.32%               | 26.32% (0.00%)       | 26.32% (0.00%)       |
| CertifiedDocuments.sol              | 19.90%               | 19.90% (0.00%)       | 19.90% (0.00%)       |
| ConfToken.sol                       | 32.55%               | 33.33% (+0.78%)      | 33.18% (+0.62%)      |
| DaoCasinoToken.sol                  | 32.11%               | 32.11% (+0.00%)      | 32.35% (+0.25%)      |
| CryptoHole.sol                      | 44.88%               | 48.51% (+3.63%)      | 47.19% (+2.31%)      |
| D2GBToken.sol                       | 32.78%               | 34.44% (+1.65%)      | 34.44% (+1.65%)      |
| DEC15Contract.sol                   | 61.23%               | 61.96% (+0.72%)      | 68.12% (+6.88%)      |
| DEC15v1Contract.sol                 | 63.77%               | 64.49% (+0.72%)      | 63.41% (-0.36%)      |
| Diploma_landing_page.sol            | 37.93%               | 37.93% (0.00%)       | 37.93% (0.00%)       |
| ERC721_token.sol                    | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| ERH.sol                             | 53.81%               | 57.14% (+3.33%)      | 58.57% (+4.76%)      |
| ETHLightToken.sol                   | 46.41%               | 50.33% (+3.92%)      | 55.23% (+8.82%)      |
| EscrowMyEtherEntityDB.sol           | 30.68%               | 30.09% (-0.59%)      | 31.27% (+0.59%)      |
| EtherWhuffieManager.sol             | 40.91%               | 40.91% (0.00%)       | 40.91% (0.00%)       |
| GGPCToken.sol                       | 37.65%               | 37.13% (-0.52%)      | 35.23% (-2.42%)      |
| HashRushICO.sol                     | 18.71%               | 22.66% (+3.95%)      | 20.03% (+1.32%)      |
| Hotc.sol                            | 52.90%               | 52.90% (0.00%)       | 52.17% (-0.72%)      |
| InvitherB.sol                       | 36.17%               | 36.17% (0.00%)       | 35.82% (-0.35%)      |
| KryptoGiftsMessages.sol             | 40.48%               | 40.48% (0.00%)       | 40.48% (0.00%)       |
| LOVEFoundation.sol                  | 57.19%               | 52.63% (-4.56%)      | 53.68% (-3.51%)      |
| LaolaiManage.sol                    | 42.31%               | 42.31% (0.00%)       | 42.31% (0.00%)       |
| LiteConnectToken.sol                | 30.41%               | 29.95% (-0.45%)      | 30.41% (0.00%)       |
| Luck.sol                            | 45.45%               | 45.45% (0.00%)       | 45.45% (0.00%)       |
| MiCon.sol                           | 50.25%               | 50.75% (+0.50%)      | 51.24% (+1.00%)      |
| MinerEdgeToken.sol                  | 43.72%               | 42.35% (-1.37%)      | 48.09% (+4.37%)      |
| MoyTokenStorage.sol                 | 52.34%               | 49.84% (-2.49%)      | 50.16% (-2.18%)      |
| MyEtherTellerEntityDB.sol           | 33.04%               | 30.68% (-2.36%)      | 30.09% (-2.95%)      |
| MySuperToken.sol                    | 52.63%               | 52.63% (0.00%)       | 53.80% (+1.17%)      |
| PARKToken.sol                       | 33.93%               | 31.55% (-2.38%)      | 28.97% (-4.96%)      |
| REALotteryWheel.sol                 | 48.72%               | 48.72% (0.00%)       | 47.86% (-0.85%)      |
| SGCC.sol                            | 33.11%               | 30.16% (-2.95%)      | 31.75% (-1.36%)      |
| Saaa.sol                            | 44.00%               | 44.00% (0.00%)       | 44.00% (0.00%)       |
| SaveData.sol                        | 34.88%               | 36.43% (+1.55%)      | 34.88% (0.00%)       |
| SimpleMathTest003.sol               | 46.15%               | 46.15% (0.00%)       | 46.15% (0.00%)       |
| SoapBox.sol                         | 50.91%               | 49.70% (-1.21%)      | 50.91% (0.00%)       |
| SpecialWallet.sol                   | 34.91%               | 36.69% (+1.78%)      | 34.71% (-0.20%)      |
| TIP.sol                             | 36.58%               | 36.28% (-0.29%)      | 35.40% (-1.18%)      |
| TestQuery.sol                       | 33.33%               | 33.33% (0.00%)       | 33.33% (0.00%)       |
| TestRegistry.sol                    | 30.77%               | 30.77% (0.00%)       | 30.77% (0.00%)       |
| TransferCoin.sol                    | 61.54%               | 61.54% (0.00%)       | 61.54% (0.00%)       |
| TransferMoney.sol                   | 47.83%               | 47.83% (0.00%)       | 47.83% (0.00%)       |
| VeganCoin.sol                       | 39.02%               | 39.02% (0.00%)       | 39.02% (0.00%)       |
| Xtime.sol                           | 47.62%               | 54.29% (+6.67%)      | 56.19% (+8.57%)      |
| epocum.sol                          | 16.59%               | 18.29% (+1.71%)      | 18.76% (+2.17%)      |
| ggbank.sol                          | 32.03%               | 33.07% (+1.04%)      | 34.38% (+2.34%)      |
| message.sol                         | 50.00%               | 50.00% (0.00%)       | 48.89% (-1.11%)      |
