COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| B0xProxy.sol                        | 23.04%               | 22.06% (-0.98%)      | 22.55% (-0.49%)      |
| CBToken.sol                         | 19.47%               | 17.55% (-1.92%)      | 18.51% (-0.96%)      |
| Ciphs.sol                           | 18.36%               | 17.62% (-0.74%)      | 17.12% (-1.24%)      |
| CvcProxy.sol                        | 60.87%               | 60.87% (0.00%)       | 60.87% (0.00%)       |
| DSProxy.sol                         | 35.64%               | 45.54% (+9.90%)      | 35.64% (0.00%)       |
| FNBToken.sol                        | 62.18%               | 68.91% (+6.72%)      | 63.03% (+0.84%)      |
| KnowledgeProxy.sol                  | 60.98%               | 60.98% (0.00%)       | 60.98% (0.00%)       |
| LANDProxy.sol                       | 100.00%              | 94.74% (-5.26%)      | 97.37% (-2.63%)      |
| MultiEventsHistory.sol              | 59.78%               | 57.61% (-2.17%)      | 59.78% (0.00%)       |
| MultiSigStub.sol                    | 36.65%               | 36.65% (0.00%)       | 32.92% (-3.73%)      |
| Parsec.sol                          | 67.39%               | 67.39% (0.00%)       | 67.39% (0.00%)       |
| RiskSharingToken.sol                | 22.69%               | 25.77% (+3.08%)      | 28.46% (+5.77%)      |
| TransferReg.sol                     | 82.35%               | 85.29% (+2.94%)      | 88.24% (+5.88%)      |
| UserWallet.sol                      | 55.00%               | 60.00% (+5.00%)      | 65.00% (+10.00%)     |
| WyvernDAOProxy.sol                  | 74.14%               | 72.41% (-1.72%)      | 68.97% (-5.17%)      |
| BigRisk.sol                         | 56.06%               | 56.06% (0.00%)       | 56.06% (0.00%)       |
| Caller.sol                          | 100.00%              | 100.00% (0.00%)      | 100.00% (0.00%)      |
| ChargCoinContract.sol               | 26.82%               | N/A                  | N/A                  |
| CreditDepositBank.sol               | 72.41%               | 72.41% (0.00%)       | 72.41% (0.00%)       |
| CrowdSalePreICO.sol                 | 33.33%               | 32.10% (-1.23%)      | 33.33% (0.00%)       |
| DepositBank.sol                     | 49.67%               | 58.17% (+8.50%)      | 56.21% (+6.54%)      |
| EDProxy.sol                         | 53.54%               | 53.54% (0.00%)       | 50.51% (-3.03%)      |
| Ethsplit.sol                        | 38.10%               | 38.10% (0.00%)       | 38.10% (0.00%)       |
| HelpMeSave.sol                      | 88.57%               | 88.57% (0.00%)       | 88.57% (0.00%)       |
| Honey.sol                           | 77.78%               | 66.67% (-11.11%)     | 63.89% (-13.89%)     |
| IPchainStandardToken.sol            | 52.04%               | 53.06% (+1.02%)      | 67.35% (+15.31%)     |
