AVERAGE RESULTS


TRANSACTION COUNT RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| transaction_count                   | 34.51                | 34.99 (+1.37%)       | 34.61 (+0.26%)       |
------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| BananaToken.sol                     | 26.32%               | 27.63% (+5.00%)      | 28.29% (+7.50%)      |
| BetCenter.sol                       | 32.17%               | 32.17% (0.00%)       | 28.70% (-10.81%)     |
| Bitway.sol                          | 52.73%               | 58.18% (+10.34%)     | 60.00% (+13.79%)     |
| BurnableOpenPaymentFactory.sol      | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| BurnablePaymentFactory.sol          | 13.59%               | 15.53% (+14.29%)     | 15.53% (+14.29%)     |
| C2.sol                              | 26.32%               | 26.32% (0.00%)       | 26.32% (0.00%)       |
| CertifiedDocuments.sol              | 19.90%               | 19.90% (0.00%)       | 19.90% (0.00%)       |
| ConfToken.sol                       | 37.85%               | 33.18% (-12.35%)     | 31.31% (-17.28%)     |
| DaoCasinoToken.sol                  | 32.35%               | 32.35% (0.00%)       | 32.35% (0.00%)       |
| CryptoHole.sol                      | 51.49%               | 52.48% (+1.92%)      | 46.53% (-9.62%)      |
| D2GBToken.sol                       | 30.58%               | 33.88% (+10.81%)     | 33.88% (+10.81%)     |
| DEC15Contract.sol                   | 69.57%               | 68.48% (-1.56%)      | 68.48% (-1.56%)      |
| DEC15v1Contract.sol                 | 57.61%               | 61.96% (+7.55%)      | 57.61% (0.00%)       |
| Diploma_landing_page.sol            | 37.93%               | 37.93% (0.00%)       | 37.93% (0.00%)       |
| ERC721_token.sol                    | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| ERH.sol                             | 47.14%               | 55.71% (+18.18%)     | 58.57% (+24.24%)     |
| ETHLightToken.sol                   | 46.08%               | 47.06% (+2.13%)      | 48.04% (+4.26%)      |
| EscrowMyEtherEntityDB.sol           | 30.09%               | 30.09% (0.00%)       | 30.09% (0.00%)       |
| EtherWhuffieManager.sol             | 40.91%               | 40.91% (0.00%)       | 40.91% (0.00%)       |
| GGPCToken.sol                       | 39.38%               | 40.41% (+2.63%)      | 41.45% (+5.26%)      |
| HashRushICO.sol                     | 16.21%               | 20.95% (+29.27%)     | 18.97% (+17.07%)     |
| Hotc.sol                            | 45.65%               | 60.87% (+33.33%)     | 57.61% (+26.19%)     |
