MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| B0xProxy.sol                        | 18.14%               | 19.12% (+0.98%)      | 20.10% (+1.96%)      |
| CBToken.sol                         | 16.11%               | 17.07% (+0.96%)      | 17.07% (+0.96%)      |
| Ciphs.sol                           | 13.15%               | 17.12% (+3.97%)      | 15.63% (+2.48%)      |
| CvcProxy.sol                        | 52.17%               | 53.62% (+1.45%)      | 52.17% (0.00%)       |
| DSProxy.sol                         | 39.60%               | 37.62% (-1.98%)      | 42.57% (+2.97%)      |
| FNBToken.sol                        | 52.94%               | 57.14% (+4.20%)      | 53.78% (+0.84%)      |
| KnowledgeProxy.sol                  | 60.98%               | 54.88% (-6.10%)      | 60.98% (0.00%)       |
| LANDProxy.sol                       | 89.47%               | 84.21% (-5.26%)      | 89.47% (0.00%)       |
| MultiEventsHistory.sol              | 38.04%               | 47.83% (+9.78%)      | 55.43% (+17.39%)     |
| MultiSigStub.sol                    | 32.92%               | 31.68% (-1.24%)      | 34.78% (+1.86%)      |
| Parsec.sol                          | 56.52%               | 52.17% (-4.35%)      | 63.04% (+6.52%)      |
| RiskSharingToken.sol                | 20.00%               | 23.46% (+3.46%)      | 20.77% (+0.77%)      |
| TransferReg.sol                     | 61.76%               | 67.65% (+5.88%)      | 52.94% (-8.82%)      |
| UserWallet.sol                      | 70.00%               | 75.00% (+5.00%)      | 65.00% (-5.00%)      |
| WyvernDAOProxy.sol                  | 62.07%               | 58.62% (-3.45%)      | 48.28% (-13.79%)     |
| BigRisk.sol                         | 54.55%               | 56.06% (+1.52%)      | 51.52% (-3.03%)      |
| Caller.sol                          | 100.00%              | 100.00% (0.00%)      | 100.00% (0.00%)      |
| ChargCoinContract.sol               | N/A                  | N/A                  | N/A                  |
| CreditDepositBank.sol               | 65.52%               | 65.52% (0.00%)       | 60.34% (-5.17%)      |
| CrowdSalePreICO.sol                 | 29.63%               | 27.57% (-2.06%)      | 27.98% (-1.65%)      |
| DepositBank.sol                     | 48.37%               | 39.87% (-8.50%)      | 39.87% (-8.50%)      |
| EDProxy.sol                         | 48.48%               | 39.39% (-9.09%)      | 29.29% (-19.19%)     |
| Ethsplit.sol                        | 38.10%               | 38.10% (0.00%)       | 38.10% (0.00%)       |
| HelpMeSave.sol                      | 68.57%               | 54.29% (-14.29%)     | 71.43% (+2.86%)      |
| Honey.sol                           | 44.44%               | 41.67% (-2.78%)      | 61.11% (+16.67%)     |
| IPchainStandardToken.sol            | 44.90%               | 48.98% (+4.08%)      | 47.96% (+3.06%)      |
| MillionEther.sol                    | 11.02%               | 9.45% (-1.57%)       | 11.81% (+0.79%)      |
| MultiplicatorX4.sol                 | 71.88%               | 50.00% (-21.88%)     | 50.00% (-21.88%)     |
| NexxusToken.sol                     | 44.17%               | 45.83% (+1.67%)      | 31.67% (-12.50%)     |
| Pie.sol                             | 61.11%               | 44.44% (-16.67%)     | 52.78% (-8.33%)      |
| PrayerCoin.sol                      | 22.36%               | 35.40% (+13.04%)     | 31.68% (+9.32%)      |
| RaisingToken.sol                    | 40.91%               | 38.64% (-2.27%)      | 38.64% (-2.27%)      |
| Reward.sol                          | 50.00%               | 41.30% (-8.70%)      | 43.48% (-6.52%)      |
| SafeConditionalHFTransfer.sol       | 27.78%               | 27.78% (0.00%)       | 27.78% (0.00%)       |
| Soleau.sol                          | 51.72%               | 53.45% (+1.72%)      | 53.45% (+1.72%)      |
| Store.sol                           | 66.67%               | 74.07% (+7.41%)      | 74.07% (+7.41%)      |
| TokenBank.sol                       | 53.97%               | 60.32% (+6.35%)      | 57.14% (+3.17%)      |
