GROUP A RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| FipsNotary.sol                      | 44.62%               | 44.62% (0.00%)       | 44.62% (0.00%)       |
| CTNTokenSale.sol                    | 40.40%               | 37.88% (-6.25%)      | 40.40% (0.00%)       |
| AsaCoin.sol                         | 57.84%               | 59.80% (+3.39%)      | 59.80% (+3.39%)      |
| SpecialWallet.sol                   | 41.42%               | 41.42% (0.00%)       | 41.42% (0.00%)       |
| ClaimableCrowdsale.sol              | 31.10%               | 31.10% (0.00%)       | 31.10% (0.00%)       |
| Coinflip.sol                        | 33.50%               | 33.50% (0.00%)       | 33.50% (0.00%)       |
| LitmusCrowdsale.sol                 | 55.83%               | 53.99% (-3.30%)      | 55.83% (0.00%)       |
| MidnightCoin.sol                    | 39.10%               | 40.38% (+3.28%)      | 40.38% (+3.28%)      |
| DepositBank.sol                     | 60.13%               | 60.13% (0.00%)       | 60.78% (+1.09%)      |
| DSProxy.sol                         | 38.61%               | 49.50% (+28.21%)     | 46.53% (+20.51%)     |
| InkPublicPresale.sol                | 23.19%               | 25.22% (+8.75%)      | 23.19% (0.00%)       |
| MoyTokenStorage.sol                 | 52.34%               | 52.34% (0.00%)       | 52.34% (0.00%)       |
| EtchReward.sol                      | 41.18%               | 41.18% (0.00%)       | 41.18% (0.00%)       |
| ProxyCreationAndExecute.sol         | 31.11%               | 31.75% (+2.04%)      | 24.13% (-22.45%)     |
| LeanFund.sol                        | 58.78%               | 58.78% (0.00%)       | 58.78% (0.00%)       |
| GGPCToken.sol                       | 44.56%               | 44.56% (0.00%)       | 44.56% (0.00%)       |
| Profit1000.sol                      | 30.67%               | 33.87% (+10.42%)     | 32.91% (+7.29%)      |
| BlockFoodPreSale.sol                | 19.84%               | 19.84% (0.00%)       | 19.84% (0.00%)       |
| RaiseFundsForACause.sol             | 64.54%               | 64.54% (0.00%)       | 64.54% (0.00%)       |
| BananaToken.sol                     | 30.92%               | 33.55% (+8.51%)      | 33.55% (+8.51%)      |
| TheNextBlock.sol                    | 46.67%               | 46.67% (0.00%)       | 46.67% (0.00%)       |
| CandyClaim.sol                      | 27.37%               | 27.37% (0.00%)       | 27.37% (0.00%)       |
| BRToken.sol                         | 57.84%               | 59.80% (+3.39%)      | 59.80% (+3.39%)      |
| SGCC.sol                            | 40.82%               | 40.82% (0.00%)       | 40.82% (0.00%)       |
| KiddyToys.sol                       | 16.44%               | 16.44% (0.00%)       | 16.44% (0.00%)       |
| Apuestas2018.sol                    | 37.78%               | 37.78% (0.00%)       | 37.78% (0.00%)       |
| CryptoChamps.sol                    | 25.00%               | 25.00% (0.00%)       | 25.00% (0.00%)       |
