MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| B0xProxy.sol                        | 23.04%               | 22.55% (-0.49%)      | 21.08% (-1.96%)      |
| CBToken.sol                         | 18.27%               | 19.23% (+0.96%)      | 18.75% (+0.48%)      |
| Ciphs.sol                           | 18.86%               | 17.37% (-1.49%)      | 17.87% (-0.99%)      |
| CvcProxy.sol                        | 60.87%               | 60.87% (0.00%)       | 71.01% (+10.14%)     |
| DSProxy.sol                         | 38.61%               | 51.49% (+12.87%)     | 43.56% (+4.95%)      |
| FNBToken.sol                        | 63.03%               | 66.39% (+3.36%)      | 62.18% (-0.84%)      |
| KnowledgeProxy.sol                  | 60.98%               | 60.98% (0.00%)       | 60.98% (0.00%)       |
| LANDProxy.sol                       | 97.37%               | 100.00% (+2.63%)     | 100.00% (+2.63%)     |
| MultiEventsHistory.sol              | 59.78%               | 58.70% (-1.09%)      | 59.78% (0.00%)       |
| MultiSigStub.sol                    | 36.65%               | 36.65% (0.00%)       | 36.65% (0.00%)       |
| Parsec.sol                          | 67.39%               | 67.39% (0.00%)       | 67.39% (0.00%)       |
| RiskSharingToken.sol                | 25.00%               | 25.77% (+0.77%)      | 28.08% (+3.08%)      |
| TransferReg.sol                     | 82.35%               | 97.06% (+14.71%)     | 73.53% (-8.82%)      |
| UserWallet.sol                      | 55.00%               | 55.00% (0.00%)       | 75.00% (+20.00%)     |
| WyvernDAOProxy.sol                  | 74.14%               | 67.24% (-6.90%)      | 70.69% (-3.45%)      |
| BigRisk.sol                         | 56.06%               | 56.06% (0.00%)       | 56.06% (0.00%)       |
| Caller.sol                          | 100.00%              | 100.00% (0.00%)      | 100.00% (0.00%)      |
| ChargCoinContract.sol               | 26.53%               | 26.82% (+0.29%)      | N/A                  |
| CreditDepositBank.sol               | 72.41%               | 72.41% (0.00%)       | 72.41% (0.00%)       |
| CrowdSalePreICO.sol                 | 33.33%               | 33.33% (0.00%)       | 32.10% (-1.23%)      |
| DepositBank.sol                     | 52.29%               | 54.90% (+2.61%)      | 52.94% (+0.65%)      |
| EDProxy.sol                         | 53.54%               | 43.43% (-10.10%)     | 51.52% (-2.02%)      |
| Ethsplit.sol                        | 38.10%               | 38.10% (0.00%)       | 38.10% (0.00%)       |
| HelpMeSave.sol                      | 88.57%               | 88.57% (0.00%)       | 88.57% (0.00%)       |
| Honey.sol                           | 77.78%               | 61.11% (-16.67%)     | 72.22% (-5.56%)      |
| IPchainStandardToken.sol            | 53.06%               | 57.14% (+4.08%)      | 53.06% (0.00%)       |
| MillionEther.sol                    | 12.60%               | 12.60% (0.00%)       | 12.60% (0.00%)       |
| MultiplicatorX4.sol                 | 81.25%               | 90.62% (+9.38%)      | 81.25% (0.00%)       |
| NexxusToken.sol                     | 49.17%               | 52.50% (+3.33%)      | 50.00% (+0.83%)      |
| Pie.sol                             | 83.33%               | 66.67% (-16.67%)     | 72.22% (-11.11%)     |
