NUMBER-DEPENDENCY RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
| TheOneToken.sol                     | 48.86%               | 48.86% (0.00%)       | 48.86% (0.00%)       |
| TrustBet.sol                        | 44.12%               | 44.12% (0.00%)       | 44.12% (0.00%)       |
| TwentyDollars.sol                   | 62.22%               | 62.22% (0.00%)       | 62.22% (0.00%)       |
| WolkToken.sol                       | 20.99%               | 20.99% (0.00%)       | 20.99% (0.00%)       |
| XCTCrowdSale.sol                    | 77.19%               | 77.19% (0.00%)       | 77.19% (0.00%)       |
| XG4KCrowdFunding.sol                | 44.12%               | 44.12% (0.00%)       | 44.12% (0.00%)       |
| eth666.sol                          | 46.67%               | 45.71% (-2.04%)      | 49.52% (+6.12%)      |
------------------------------------------------------------------------------------------------------------
| AVERAGE                             | 41.91%               | 41.76% (-0.37%)      | 41.99% (+0.19%)      |
------------------------------------------------------------------------------------------------------------


AVERAGE COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| AMBROSUSFund.sol                    | 15.23%               | 15.02% (-1.35%)      | 15.07% (-1.05%)      |
| APPToken.sol                        | 11.55%               | 11.03% (-4.46%)      | 11.23% (-2.77%)      |
| AddressLotteryV2.sol                | 15.65%               | 14.15% (-9.57%)      | 15.77% (+0.75%)      |
| Arena.sol                           | 18.35%               | 17.63% (-3.93%)      | 17.30% (-5.74%)      |
| AvPresale.sol                       | 10.85%               | 10.80% (-0.39%)      | 10.65% (-1.80%)      |
| BMPre_ICO.sol                       | 13.33%               | 13.25% (-0.62%)      | 13.34% (+0.09%)      |
| Bagholder.sol                       | 7.58%                | 7.22% (-4.76%)       | 7.55% (-0.37%)       |
| Bank_With_Interest.sol              | 14.98%               | 15.41% (+2.81%)      | 14.50% (-3.27%)      |
| Best_Bank_with_Interest.sol         | 15.71%               | 15.72% (+0.09%)      | 15.76% (+0.37%)      |
| BlockHashRNGFallback.sol            | 22.36%               | 22.26% (-0.44%)      | 21.17% (-5.35%)      |
| Bob.sol                             | 6.24%                | 6.32% (+1.41%)       | 6.26% (+0.40%)       |
| Bombs.sol                           | 11.20%               | 11.27% (+0.66%)      | 11.32% (+1.06%)      |
| BrandContest.sol                    | 6.76%                | 6.88% (+1.78%)       | 6.90% (+1.98%)       |
| CHEXToken.sol                       | 10.00%               | 9.92% (-0.78%)       | 9.93% (-0.67%)       |
| CSSPresale.sol                      | 9.99%                | 10.41% (+4.13%)      | 10.38% (+3.90%)      |
| Coinflip.sol                        | 6.93%                | 7.07% (+2.02%)       | 7.68% (+10.83%)      |
| CompetitionStore.sol                | 2.67%                | 2.87% (+7.60%)       | 2.75% (+3.14%)       |
| CrowdsaleTokens.sol                 | 14.08%               | 15.32% (+8.79%)      | 14.79% (+5.03%)      |
| CryptoDuels.sol                     | 10.05%               | 10.29% (+2.40%)      | 10.06% (+0.10%)      |
| CryptoGoldStandardCoin.sol          | 8.46%                | 8.48% (+0.18%)       | 8.44% (-0.32%)       |
| CryptoPoosToken.sol                 | 5.76%                | 5.75% (-0.19%)       | 5.60% (-2.84%)       |
| DIVXToken.sol                       | 9.39%                | 9.31% (-0.90%)       | 9.35% (-0.44%)       |
| DecentralandBuyer.sol               | 13.61%               | 13.26% (-2.59%)      | 13.70% (+0.71%)      |
| DeveryFUND.sol                      | 8.15%                | 8.53% (+4.59%)       | 8.78% (+7.62%)       |
